Afghanistan,60563,53750,2648
Albania,131327,112626,2402
Algeria,122999,85693,3289
Andorra,13316,12818,127
Angola,27284,24190,609
Antigua and Barbuda,1232,1014,32
Argentina,3047417,2717458,65202
Armenia,217900,201559,4178
Australia,29865,23360,910
Austria,624595,593684,10291
Azerbaijan,322761,296875,4597
Bahamas,10576,9579,210
Bahrain,181880,169852,662
Bangladesh,767338,698465,11755
Barbados,3884,3817,45
Belarus,362594,353081,2582
Belgium,999627,0,24367
Belize,12675,12254,323
Benin,7884,7652,100
Bhutan,1135,999,1
Bolivia,308984,254683,13035
Bosnia and Herzegovina,199463,161369,8713
Botswana,47851,45645,724
Brazil,14856888,13170561,411588
Brunei,228,218,3
Bulgaria,406192,342226,16609
Burkina Faso,13339,13081,161
Burma,142858,131997,3209
Burundi,4052,773,6
Cabo Verde,24742,21469,228
Cambodia,16971,6019,110
Cameroon,72250,35261,1107
Canada,1258449,1156625,24400
Central African Republic,6521,5112,91
Chad,4835,4565,170
Chile,1219064,1155630,26696
China,102560,97266,4846
Colombia,2919805,2737757,75627
Comoros,3846,3676,146
Congo (Brazzaville),11016,8208,147
Congo (Kinshasa),30071,26282,770
Costa Rica,257980,206319,3310
Cote d'Ivoire,46173,45694,291
Croatia,339412,319962,7315
Cuba,110644,104326,686
Cyprus,67420,39061,326
Czechia,1639248,1568630,29479
Denmark,255181,242852,2492
Diamond Princess,712,699,13
Djibouti,11247,10901,147
Dominica,174,172,0
Dominican Republic,268070,229368,3504
Ecuador,391242,329582,18863
Egypt,231803,173341,13591
El Salvador,69727,65264,2141
Equatorial Guinea,7694,7279,112
Eritrea,3681,3503,12
Estonia,123781,114033,1183
Eswatini,18461,17763,671
Ethiopia,259354,202679,3772
Fiji,121,75,2
Finland,87798,46000,916
France,5741537,364859,105548
Gabon,23201,19740,140
Gambia,5914,5473,175
Georgia,315913,296532,4207
Germany,3462297,3095570,83895
Ghana,92740,90376,780
Greece,349936,93764,10668
Grenada,160,158,1
Guatemala,230095,207862,7606
Guinea,22368,19892,146
Guinea-Bissau,3737,3359,67
Guyana,13656,11596,306
Haiti,13135,12151,257
Holy See,27,15,0
Honduras,215833,79350,5386
Hungary,785967,538965,28173
Iceland,6491,6295,29
India,20665148,16951731,226188
Indonesia,1691658,1547092,46349
Iran,2591609,2039427,73568
Iraq,1086141,971793,15608
Ireland,250672,23364,4908
Israel,838739,831158,6369
Italy,4059821,3524194,121738
Jamaica,46087,21646,793
Japan,617852,538790,10497
Jordan,715703,694427,8955
Kazakhstan,385491,336306,3357
Kenya,160904,109217,2805
"Korea, South",124945,114944,1847
Kosovo,103638,91211,2134
Kuwait,279085,262582,1601
Kyrgyzstan,96561,90146,1630
Laos,1072,99,0
Latvia,120736,110153,2166
Lebanon,529205,472133,7368
Lesotho,10749,6267,319
Liberia,2110,1952,85
Libya,178672,164663,3049
Liechtenstein,2948,2830,57
Lithuania,252699,227526,3993
Luxembourg,67642,64260,800
MS Zaandam,9,7,2
Madagascar,38116,34060,690
Malawi,34123,32123,1149
Malaysia,424376,389846,1591
Maldives,31931,25340,74
Mali,13969,8808,492
Malta,30411,29715,416
Marshall Islands,4,4,0
Mauritania,18503,17768,455
Mauritius,1214,1111,17
Mexico,2352964,1875211,217740
Micronesia,1,1,0
Moldova,251504,241553,5869
Monaco,2468,2390,32
Mongolia,41524,25641,130
Montenegro,97813,94216,1516
Morocco,512285,499089,9038
Mozambique,70031,67342,817
Namibia,48654,46238,643
Nepal,351005,287790,3417
Netherlands,1551251,26008,17475
New Zealand,2629,2578,26
Nicaragua,6989,4225,183
Niger,5286,4870,192
Nigeria,165215,155371,2063
North Macedonia,152814,134653,4992
Norway,114436,17998,757
Oman,198572,180547,2071
Pakistan,841636,738727,18429
Panama,365619,355499,6248
Papua New Guinea,11273,9773,121
